Total de equipos en la BD: 2404

Stints  País                  Nombre
     3  Desconocido           Welling United
     3  Desconocido           Chesterfield
     3  Desconocido           AFC Wimbledon
     3  Desconocido           Southend United
     3  Desconocido           Colchester United
     3  Desconocido           Grafičar Beograd
     3  Desconocido           Bursaspor
     3  Desconocido           Marítimo
     3  Desconocido           Peralada-Girona B
     3  Desconocido           HJK
     3  Desconocido           Göztepe
     3  Desconocido           Cork City
     3  Desconocido           Avaí
     3  Desconocido           Independiente del Valle
     3  Desconocido           Lyngby
     3  Desconocido           Salford City
     3  Desconocido           Carlisle United
     3  Desconocido           RWD Molenbeek
     3  Desconocido           Eastleigh
     3  Desconocido           Dundee United
     3  Desconocido           Ross County
     3  Desconocido           Slovan Liberec
     3  Desconocido           Dukla Prague
     3  Desconocido           PAS Giannina
     3  Desconocido           Bromley
     3  Desconocido           Molde
     3  Desconocido           Anorthosis
     3  Desconocido           FC Ingolstadt II
     3  Desconocido           Kawasaki Frontale
     3  Desconocido           IF Elfsborg
     3  Desconocido           RB Leipzig II
     3  Desconocido           Crewe Alexandra
     3  Desconocido           De Graafschap
     3  Desconocido           Universidad Católica
     3  Desconocido           Cambuur
     3  Desconocido           Västerås SK
     3  Desconocido           Weston-super-Mare
     3  Desconocido           OFI
     3  Desconocido           Kortrijk
     3  Desconocido           Neuchâtel Xamax
     3  Desconocido           Savona
     3  Desconocido           Vitória Setúbal
     3  Desconocido           León
     3  Desconocido           Alessandria
     3  Desconocido           SV Ried
     3  Desconocido           Vojvodina
     3  Desconocido           Torpedo Kutaisi
     3  Desconocido           Ludogorets Razgrad
     3  Desconocido           Djurgårdens IF
     3  Desconocido           Melbourne City
     3  Desconocido           Polonia Warsaw
     3  Desconocido           UNAM
     3  Desconocido           Aris Limassol
     3  Desconocido           Pavarolo
     3  Desconocido           Piacenza
     3  Desconocido           Deportivo Cali
     3  Desconocido           Emmen
     3  Desconocido           Bahia
     3  Desconocido           Dordrecht
     3  Desconocido           Hajduk Split II
     3  Desconocido           FC Basel II
     3  Desconocido           Kasımpaşa
     3  Desconocido           Zrinjski Mostar
     3  Desconocido           Domžale
     3  Desconocido           Chiasso
     3  Desconocido           Brommapojkarna
     3  Desconocido           Bassano Virtus
     3  Desconocido           Stabæk
     3  Desconocido           Rostov
     3  Desconocido           Viktoria Köln
     3  Desconocido           Lech Poznań II
     3  Desconocido           Arsenal Tula
     3  Desconocido           Mjällby AIF
     3  Desconocido           Dunajská Streda
     3  Desconocido           Istra 1961
     3  Desconocido           Vancouver Whitecaps FC
     3  Desconocido           Júbilo Iwata
     3  Desconocido           Atlético Junior
     3  Desconocido           Greuther Fürth II
     3  Desconocido           JEF United Chiba
     3  Desconocido           AaB
     3  Desconocido           Wehen Wiesbaden
     3  Desconocido           Chemnitzer FC
     3  Desconocido           Energie Cottbus
     3  Desconocido           Kashima Antlers
     3  Desconocido           Alès
     3  Desconocido           FC Wil
     3  Desconocido           Preußen Münster
     3  Desconocido           Würzburger Kickers
     3  Desconocido           Austria Wien II
     3  Desconocido           Lokomotiva
     3  Desconocido           Montpellier II
     3  Desconocido           VfL Bochum II
     3  Desconocido           SV Mattersburg
     3  Desconocido           Osijek
     3  Desconocido           Eskişehirspor
     3  Desconocido           SV Sandhausen II
     3  Desconocido           Halmstads BK
     3  Desconocido           Stuttgarter Kickers
     3  Desconocido           Tokyo Verdy
     3  Desconocido           Pau
     3  Desconocido           Gazélec Ajaccio
     3  Desconocido           Colorado Rapids
     3  Desconocido           Ajaccio B
     3  Desconocido           Cuiabá
     3  Desconocido           Épinal
     3  Desconocido           Metz II
     3  Desconocido           Feirense
     3  Desconocido           Montreal Impact
     3  Desconocido           Shanghai Shenhua
     3  Desconocido           Mumbai City
     3  Desconocido           Real Zaragoza
     3  Desconocido           Los Angeles Aztecs
     3  Desconocido           Al-Shamal
     3  Desconocido           Millonarios
     3  Desconocido           San Jose Earthquakes
     3  Desconocido           Al-Duhail
     3  Desconocido           Zenit Saint Petersburg
     3  Desconocido           Guadalajara
     3  Desconocido           Rennes
     2  Desconocido           Al Ahly
     2  Desconocido           Olhanense
     2  Desconocido           Aurrerá
     2  Desconocido           San Ignacio
     2  Desconocido           Granada B
     2  Desconocido           Tijuana
     2  Desconocido           Marbella
     2  Desconocido           Pobla Mafumet
     2  Desconocido           Las Palmas C
     2  Desconocido           Johor Darul Ta'zim
     2  Desconocido           Logroñés B
     2  Desconocido           Zürich II
     2  Desconocido           Luzern II
     2  Desconocido           Guijuelo
     2  Desconocido           Córdoba B
     2  Desconocido           Compostela
     2  Desconocido           Lleida Esportiu
     2  Desconocido           Dnipro
     2  Desconocido           Oviedo
     2  Desconocido           Atlético Huila
     2  Desconocido           Hospitalet
     2  Desconocido           Colón
     2  Desconocido           Sportivo Luqueño
     2  Desconocido           Hércules B
     2  Desconocido           Leganés B
     2  Desconocido           Linares
     2  Desconocido           Gillingham
     2  Desconocido           Puskás Akadémia II
     2  Desconocido           Grótta
     2  Desconocido           Atlético Madrid C
     2  Desconocido           Cieza
     2  Desconocido           Murcia B
     2  Desconocido           FC Tokyo U-23
     2  Desconocido           Truro City
     2  Desconocido           Churchill Brothers
     2  Desconocido           RSC Internacional
     2  Desconocido           Primeiro de Agosto
     2  Desconocido           Kabuscorp
     2  Desconocido           Sagrada Esperança
     2  Desconocido           Ipatinga
     2  Desconocido           Tombense
     2  Desconocido           Avranches B
     2  Desconocido           Comercial-MS
     2  Desconocido           São Bento
     2  Desconocido           Curicó Unido
     2  Desconocido           Monte Azul
     2  Desconocido           Guaratinguetá
     2  Desconocido           America-RJ
     2  Desconocido           Adelaide United
     2  Desconocido           Racing B
     2  Desconocido           Rosenborg
     2  Desconocido           Bodø/Glimt
     2  Desconocido           Sigma
     2  Desconocido           Minnesota United
     2  Desconocido           Sochaux B
     2  Desconocido           Sint-Truidense
     2  Desconocido           Tigre
     2  Desconocido           Fénix
     2  Desconocido           Guingamp B
     2  Desconocido           Aldershot Town
     2  Desconocido           York City
     2  Desconocido           Bury
     2  Desconocido           Warrington Town
     2  Desconocido           Queen's Park
     2  Desconocido           Darlington
     2  Desconocido           Galway United
     2  Desconocido           Gangwon FC
     2  Desconocido           Čukarički
